Index,Date,Classification,CityCode,ExtractedLocation,Text
2020,2020-09-08,Other,"USA.PA.Philadelphia","","Ew -- a spotted lanternfly dropped directly onto the top of my face mask today. (And there it is: the most 2020 Philly tweet I could possibly send.)"
2021,2020-09-08,Other,"USA.NY.New York","","Spotted Lanternfly sightings in Madison can be reported to the NJ Department of Agriculture by emailing slf-plantindustry@ag.nj.gov or by calling 609-406-6943. For more information, please visit https://t.co/tEhAjwJWsC #MadisonNJ https://t.co/1bacT4dcx1"
2022,2020-09-08,Other,"PHL.National Capital Region.Manila","","I wish spotted lanternflies got COVID"
2023,2020-09-08,Other,"USA.PA.Philadelphia","","The sidewalk outside our lab is littered with spotted lantern flies, mostly dead, thanks to the valiant efforts of the lab members and staff who are sure to squish anything moving on their way into work. https://t.co/6MlcLOCzaU"
2024,2020-09-08,Other,"","","'Scientific' contraption set up by PA parks to combat the invasive 'Chinese Spotted Lanternfly' invasion. Notice the 'smart ones' that avoid the trap altogether. They must be the 99.98% that survive.... https://t.co/0ldwcW824B"
2025,2020-09-08,Other,"","","the spotted lanternfly invasion of 2020. when will we know peace??? 😩 https://t.co/oQEDM5RUh7"
2026,2020-09-08,Spread/Sighting,"","","Covid 19 Lanternfly, native from Asia spotted all over the city. it's has black spots with red body:https://t.co/71bz0D7xbL: https://t.co/VhB4M5VwHQ"
2027,2020-09-08,Other,"","PA","If only people could come together on crucial political topics the way they come together in PA to kill spotted lantern flies"
2028,2020-09-08,Other,"USA.PA.Lancaster","","Spotted Lantern Flies are just straight up rude"
2029,2020-09-08,Spread/Sighting,"","","I just killed my first spotted lantern fly and not only did I feel immediately guilty, but not even two minutes later I found another one crawling up my pants 🙃"
2030,2020-09-08,Other,"","","RT @DE_Wetlands While you're out and about enjoying cooler weather this weekend be on the lookout for the spotted lanternfly! This 8-minute video is very informative about their life cycle and how to help control their spread. Now is the time to look for egg masses. https://t.co/vQMfKxIz3J"
2031,2020-09-08,Other,"","","@jason_koebler People are so DUMB. Let them deal with relentless waves of disgusting Spotted Lantern Flies in the scale like we do here in PA & they’ll realize how stupid they are planting unsolicited, unknown seeds from a foreign country after it’s too late to control."
2032,2020-09-08,Other,"","","Spotted lanternflies encroach on Weatherly area - https://t.co/RJxKpNMsG4"
2033,2020-09-08,Spread/Sighting,"","","I have never seen so many Spotted Lantern Flies.... I apologize for using hashtags in the year of our Lord 2020 but the world's got to see this #Philadelphia #Philly #spottedlanternfly https://t.co/q6R8hbb8Dy"
2034,2020-09-08,Other,"USA.PA.Philadelphia","","Spotted lanternflies loitering at Whole Foods https://t.co/P6T95hpqb2"
2035,2020-09-08,Other,"USA.OR.Portland","","This is just one reason we do not want spotted lanternfly in the PNW! Keep an eye out, and consider removing your Tree of Heaven (Ailanthus altissima), a preferred breeding site."
2036,2020-09-08,Other,"USA.IL.Urbana","Pennsylvania","Heads up Pennsylvania. Don't read the comments, don't read the comments, don't read the comments...."
2037,2020-09-08,Spread/Sighting,"","","@BonnieRotz @MillieOTLFP Oh yes, and I chase them away from our balcony ...saw a spotted lantern fly a few days ago that bothered me #PalsPorch https://t.co/i3ScKqUFNf"
2038,2020-09-08,Other,"USA.PA.Philadelphia","","im up to the test when they ask for the best, i cannot answer shy invaded the whole city w the drip, im spotted lantern fly!"
2039,2020-09-08,Other,"","","@MillieOTLFP I know, right? And we still have those spotted lantern flies to contend with #PalsPorch"
2040,2020-09-08,Other,"USA.PA.Philadelphia","","What the hell, I have been in the Northeast for five (5) minutes and I've already seen 3 spotted lanternflies."
2041,2020-09-08,Other,"","Allegheny County","Spotted lanternfly reports surge statewide with confirmed cases in Allegheny County - https://t.co/bz3t8aMY8I"
